Year,Volume,Value,GDP,Series Code,Financial Inclusion
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.7,0.29
2017,,,,,
2017,,,,fin14b.t.d.3,4.05
2017,,,,fin14b.t.d.10,..
2017,,,,fin14b.t.d.7,0.29
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,fin14b.t.d.3,4.05
2017,,,,fin14b.t.d.10,..
2017,,,,fin14b.t.d.6,5.72
2017,,,,fin14b.t.d.9,..
2017,,,,fin14b.t.d.5,0.32
2017,,,,fin14b.t.d.11,2.32
2017,,,,fin14b.t.d.4,2.41
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.12,3.3
2017,,,,,
2017,,,,fin14b.t.d.1,1.93
2017,,,,fin14b.t.d,2.86
2017,,,2651474263257.15,,
2017,,,2651474263257.15,,
2017,,,2651474263257.15,,
2017,,,2651474263257.15,,
2017,,,2651474263257.15,,
2017,,,2651474263257.15,fin14b.t.d.3,4.05
2017,,,2651474263257.15,fin14b.t.d.10,..
2017,,,2651474263257.15,fin14b.t.d.6,5.72
2017,,,2651474263257.15,fin14b.t.d.9,..
2017,,,2651474263257.15,fin14b.t.d.5,0.32
2017,,,,,
2017,,,,fin14b.t.d,2.86
2017,,,,fin14b.t.d.6,5.72
2017,,,,,
2017,,,,fin14b.t.d.9,..
2017,,,,fin14b.t.d.5,0.32
2017,,,,fin14b.t.d.11,2.32
2017,,,,fin14b.t.d.4,2.41
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.7,0.29
2017,,,,fin14b.t.d.12,3.3
2017,,,,fin14b.t.d.1,1.93
2017,,,,fin14b.t.d,2.86
2017,,,,,
2017,,,,,
2017,,,,,
2017,,,,fin14b.t.d.1,1.93
2017,,,,,
2017,,,,fin14b.t.d.3,4.05
2017,,,,fin14b.t.d.10,..
2017,,,,fin14b.t.d.6,5.72
2017,,,,fin14b.t.d.9,..
2017,,,,fin14b.t.d.5,0.32
2017,,,,fin14b.t.d.11,2.32
2017,,,,fin14b.t.d.4,2.41
2017,,,,fin14b.t.d.2,3.75
2017,,,,fin14b.t.d.8,4.57
2017,,,,fin14b.t.d.7,0.29
2017,,,,fin14b.t.d.12,3.3
2017,,,2651474263257.15,fin14b.t.d.4,2.41
